scopus_id,eid,description,title,creator,publication_name,issn,volume,cover_date,doi,pii,citedby_count,aggregation_type,subtype,subtype_desc,article_number,source_id,openaccess,openaccessFlag,links,affiliations,abstract,sections,references
 85195362067,2-s2.0-85195362067,"Artificial intelligence technology has opened up new horizons for higher education, but it has also increased the scale and complexity of higher education data, posing numerous challenges for data governance. Firstly, the issue of data dependency not only affects the data itself but also has a reciprocal effect on technological development. Secondly, information silos hinder effective data sharing and integration between different departments or institutions. Additionally, security issues of privacy require finding a balance in open data sharing. Based on three major issues, this article aims to provide a reasonable evaluation and improvement scheme for educational data governance in the era of AI. Based at the principles of safety, effectiveness, and openness, a Dynamic Evaluation Model for Higher Education Data Governance in the era of AI is established, relying on seven evaluation indicators and three stages of dynamic changes. This model will analyze the current situation of higher education in China and propose optimization recommendations.",Optimization Study of Higher Education Data Governance in the Era of AI,Chen J.,ACM International Conference Proceeding Series,,,2023-12-22,10.1145/3660043.3660169,,2,Conference Proceeding,cp,Conference Paper,,21101226881,0,False,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85195362067'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85195362067?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195362067&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85195362067&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'Shanghai University of International Business and Economics', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",,,
85181155120,2-s2.0-85181155120,"In the era of digital transformation, AI, cloud computing, big data, blockchain, and other intelligent technologies have increasingly profound impacts on work, study, life, and especially education. The Publishing of The Age of Artificial Intelligence: Towards a European Strategy for Human-Centric Machines marked the official launch of the EU Artificial Intelligence Strategy. By analyzing policy documents published during 2018 and 2022 for the EU Artificial Intelligence Strategy, it is found that the strategy has set three strategic goals, namely achieving an “Ecosystem of Excellence”, building an “Ecosystem of Trust”, and establishing an “Ecosystem of Digital Education”. To ensure its implementation, the European Commission has published a series of policy documents successively. As the main driver of the AI strategy, education plays an important role in the development of AI, and the EU has adopted various education tactics in the series of documents. Given the particularity of the EU as a regional cooperation organization, this strategy values philosophy, norms, and cooperation. It also provides a good reference for AI development and digital transformation of society in other countries and brings new opportunities for international cooperation in the field of AI.",Educational Missions and Tactics in the EU Artificial Intelligence Strategy in the Era of Digital Transformation: A Policy Analysis Based on EU Documents Published During 2018-2022,Xiong Y.,Advances in Transdisciplinary Engineering,2352751X,42,2023-12-15,10.3233/ATDE230999,,2,Conference Proceeding,cp,Conference Paper,,21101194991,1,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85181155120'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85181155120?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181155120&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181155120&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'Wenzhou University', 'affiliation-city': 'Wenzhou', 'affiliation-country': 'China'}]",,,
85183323712,2-s2.0-85183323712,"In the past few years, the EU has shown a growing commitment to address the rapid transformations brought about by the latest Artificial Intelligence (AI) developments by increasing efforts in AI regulation. Nevertheless, despite the growing body of technical knowledge and progress, the governance of AI-intensive technologies remains dynamic and challenging. A mounting chorus of experts have been sharing their reservations regarding an overemphasis on regulation in Europe. Among their core arguments is the concern that such an approach might hinder innovation within the AI arena. This concern resonates particularly strongly compared to the United States and Asia, where AI-driven innovation appears to be surging ahead, potentially leaving Europe behind. The current contribution is a position paper emphasising the need for balanced AI governance to foster ethical innovation, reliability, and competitiveness of European technology. This paper only explores recent AI regulations and upcoming European laws relevant to the topic to ensure conciseness while underscoring Europe’s role in the global AI landscape. The authors analyse European governance approaches and their impact, especially on SMEs and startups, offering a comparative view of global regulatory efforts. We address the complexities of creating a comprehensive, human-centred AI master’s programme for higher education and the importance of ethical AI education. Finally, we discuss how Europe can seize opportunities to promote ethical and reliable AI progress through education, fostering a balanced approach to regulation and enhancing young professionals’ understanding of ethical and legal aspects.",The European AI Tango: Balancing Regulation Innovation and Competitiveness,Todorova C.,ACM International Conference Proceeding Series,,,2023-12-14,10.1145/3633083.3633161,,10,Conference Proceeding,cp,Conference Paper,,21101198404,1,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85183323712'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85183323712?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85183323712&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183323712&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'European Software Institute Center Eastern Europe', 'affiliation-city': 'Zamudio', 'affiliation-country': 'Bulgaria'}]",,,
85179647045,2-s2.0-85179647045,There are various possible futures for regulation of artificial intelligence in the United States. The history of rules governing the treatment of human subjects could hold important insights,Medicine’s Lessons for AI Regulation,Stark L.,New England Journal of Medicine,00284793,389,2023-12-14,10.1056/NEJMp2309872,,5,Journal,ar,Article,,15847,0,False,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85179647045'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85179647045?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179647045&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179647045&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'Vanderbilt University Medical Center', 'affiliation-city': 'Nashville', 'affiliation-country': 'United States'}]",,,
85181147353,2-s2.0-85181147353,"In order to cater to the reform of online platforms and improve online users’ learning efficiency, this study conducted a design and readjustment of the function of online platforms through application of AI Technology based on cognitive emotion regulation. The results show that AI Facial Recognition Technology can not only identify and regulate users’ emotional states, but also improve the learning states in the online learning process. It is effective in cultivating online users’ planning and adjusting the content of online platforms. The research put forward improving strategies of online platforms. The results mark a new direction for the improvement of learning state and lay a theoretical foundation for the design of online platforms.",Application of AI Technology in Online Platforms Based on Cognitive Emotion Regulation,Zhou Q.,Frontiers in Artificial Intelligence and Applications,09226389,378,2023-12-12,10.3233/FAIA231030,,0,Book Series,cp,Conference Paper,,19500157321,1,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85181147353'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85181147353?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181147353&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181147353&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'Anhui Sanlian University', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}]",,,
85180385835,2-s2.0-85180385835,"Indonesia relies too much on oil as an energy source and does not make full efforts to develop alternative energy so that it affects energy security. The Energy Law number 30, year 2007 aims to achieve self-reliance and sovereign national energy security. The regulated principles include expediency, rationality, fair efficiency, increased added value, sustainability, community welfare, preservation of environmental functions, national resilience, and integration by prioritizing national capabilities. National energy management includes the main and supporting policies. Energy is an important element that always accompanies daily human activities. The availability of energy sources can meet the needs, affordability of supply and the sustainability of human life. Utilization of alternative energy for biomass briquettes can take advantage of organic waste. A smart city is a city that is able to utilize waste sources into alternative energy for community needs. The research questions presented, namely how to obtain waste sources from the community, how to design an optimization algorithm for the conditions of the biomass briquette densification process, and how to design an optimization algorithm for the biomass briquette drying process conditions. Artificial intelligence is needed in identifying sources of organic waste and opportunities to improve the quality of biomass briquettes. The research objective was to determine the potential of organic waste which can be used as the basic material for making biomass briquettes. The proposed approach is based on Artificial Neural Network (ANN) and the Response Surface Method (RSM) with data processing technique uses Matlab programming. The results of the literature study show that the use of organic waste has the potential to produce quality biomass",Literature Study on the Role of Artificial Intelligence Waste Management into Biomass Briquettes Toward Smart City Governance,Saptadi N.S.T.,Aip Conference Proceedings,0094243X,2680,2023-12-07,10.1063/5.0126046,,3,Conference Proceeding,cp,Conference Paper,020048,26916,0,False,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85180385835'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85180385835?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85180385835&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85180385835&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'Universitas Atma Jaya Makassar', 'affiliation-city': 'Makassar', 'affiliation-country': 'Indonesia'}]",,,
85180763362,2-s2.0-85180763362,"This study underscores the importance of standard data analytics governance within organizations to leverage the potential of increasing volumes of big data. Even though Thailand has operative frameworks for data governance and AI governance, there lacks a concrete framework specifically for analytics governance. To fill this void, the research utilizes the Data Governance Framework from the Digital Government Development Agency (DGA), the Artificial Intelligence Governance for e-Business and Digital Services from the Electronic Transactions Development Agency (ETDA), and the Data Management Capability Assessment Model (DCAM) within the Analytics Management section. The design and evaluation of the analytics governance framework are carried out using feedback from experts via a questionnaire. The ultimate objective of this study is to pinpoint the relevant components necessary for formulating an analytics governance framework in organizations in Thailand, which have already implemented data governance.",Formulating Analytical Governance Frameworks: An Integration of Data and AI Governance Approaches,Kanying T.,ACM International Conference Proceeding Series,,,2023-12-06,10.1145/3628454.3628461,,6,Conference Proceeding,cp,Conference Paper,7,21101194364,1,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85180763362'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85180763362?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85180763362&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85180763362&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'Mahidol University', 'affiliation-city': 'Nakhon Pathom', 'affiliation-country': 'Thailand'}]",,,
85170835273,2-s2.0-85170835273,"Personal autonomy is at the core of liberal societies, and its preservation has been a focus of European Union (EU) consumer and data protection law. Professionals increasingly use artificial intelligence in consumer markets to shape user preferences and influence their behaviours. This paper focuses on the long-term impact of artificial intelligence on consumer autonomy by studying three specific commercial practices: (1) dark patterns in user interfaces; (2) behavioural advertising; and (3) personalisation through recommender systems. It explores whether and to what extent EU regulation addresses the risks to consumer autonomy of using artificial intelligence in markets in the long term. It finds that new EU regulation does bring novelties to protect consumer autonomy in this context but fails to sufficiently consider the long-term consequences of autonomy capture by professionals. Finally, the paper makes several proposals to integrate the long-term risks affecting consumer autonomy in EU consumer and data protection regulation. It does so through an interdisciplinary approach, drawing from legal research and findings in the study of long-term thinking, philosophy and ethics and computer science.",Preserving Consumer Autonomy through European Union Regulation of Artificial Intelligence: A Long-Term Approach,Fassiaux S.,European Journal of Risk Regulation,1867299X,14,2023-12-03,10.1017/err.2023.58,S1867299X23000582,8,Journal,ar,Article,,21100285725,1,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85170835273'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85170835273?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85170835273&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85170835273&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'Universitat Pompeu Fabra Barcelona', 'affiliation-city': 'Barcelona', 'affiliation-country': 'Spain'}]",,,
85194360199,2-s2.0-85194360199,NA,Year in Review for AI Governance and Regulation,Pery A.,Business Lawyer,00076899,79,2023-12-01,,,3,Journal,ar,Article,,25251,0,False,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85194360199'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85194360199?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194360199&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85194360199&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'ABBYY', 'affiliation-city': 'Fremont', 'affiliation-country': 'United States'}]",,,
85172381433,2-s2.0-85172381433,"Big Data (BD) and Artificial Intelligence (AI) play a fundamental role in today’s economy that traditional economic models fail to capture. This paper presents a theoretical conceptualisation of the data economy and derives implications for digital governance and data policies. It defines a hypothetical data-intensive economy where data are the main input of AI and in which the amount of knowledge generated is below the socially desired amount. Intervention could consist of favouring the creation of additional knowledge via data sharing. We show that the framework suggested describes many features of today’s data-intensive economy and provides a tool to assist academic, policy and governance discussions. Our conclusions support data sharing as a way of increasing knowledge production on societal challenges and dilemmas of data capitalism and transparency in AI.","General theory of data, artificial intelligence and governance",de Pedraza P.,Humanities and Social Sciences Communications,,10,2023-12-01,10.1057/s41599-023-02096-w,,9,Journal,ar,Article,607,21101018925,1,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85172381433'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85172381433?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85172381433&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85172381433&origin=inward'}]","[{'@_fa': 'true', 'affilname': 'Universidad de Salamanca', 'affiliation-city': 'Salamanca', 'affiliation-country': 'Spain'}, {'@_fa': 'true', 'affilname': 'European Commission Joint Research Centre', 'affiliation-city': 'Brussels', 'affiliation-country': 'Belgium'}]",,,
